pr_author_login,pr_author_name,pr_notice_time,pr_review_time,pr_changed_files,pr_LOC,pr_reviewers,pr_review_commits,pr_review_comments,pr_commits,repo_stars,repo_create_time,repo_external_contribution,repo_team_size,user_followers,user_dev_time,user_experience,user_repo_experience,user_main_member,user_watched,user_succ_rate
huangzhw,Huang Zhw,10,0,1,66,"{'Oran Agra', 'Unknown', 'Huang Zhw'}",2,9,3,50279,4511,0.6185697153316922,186,11,3107,21.009999999999998,17.0,0,1,0.6187529747739172
enjoy-binbin,Binbin,0,0,1,2,{'Oran Agra'},0,0,1,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
fabianeichinger,Fabian Eichinger,34,0,2,50,"{'Fabian Eichinger', 'Unknown', 'Oran Agra', 'Madelyn Olson', 'Yossi Gottlieb'}",0,6,1,50279,4511,0.6185697153316922,186,6,3008,2.01,1.0,0,0,0.9950248756218907
oranagra,Oran Agra,0,0,25,259,"{'Madelyn Olson', 'Yossi Gottlieb', 'Itamar Haber'}",0,0,20,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
oranagra,Oran Agra,0,0,16,92,"{'Madelyn Olson', 'Yossi Gottlieb', 'Itamar Haber'}",0,2,9,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
oranagra,Oran Agra,0,0,9,34,{'Madelyn Olson'},0,0,3,50279,4511,0.6185697153316922,186,73,2683,15.01,11.0,1,0,0.6662225183211192
enjoy-binbin,Binbin,0,0,1,7,{'Oran Agra'},1,0,2,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
ushachar,Uri Shachar,0,0,2,18,{'Itamar Haber'},0,0,1,50279,4511,0.6185697153316922,186,2,2480,2.01,2.0,0,0,0.9950248756218907
huangzhw,Huang Zhw,4,0,1,37,"{'Oran Agra', 'Huang Zhw'}",4,15,5,50279,4511,0.6185697153316922,186,11,3107,21.009999999999998,17.0,0,1,0.6187529747739172
huangzhw,Huang Zhw,14,2,1,192,"{'Madelyn Olson', 'Oran Agra', 'Huang Zhw'}",5,8,6,50279,4511,0.6185697153316922,186,11,3107,21.009999999999998,17.0,0,1,0.6187529747739172
hwware,Wen Hui,0,2,1,4,{'Yossi Gottlieb'},0,0,1,50279,4511,0.6185697153316922,186,13,770,11.01,10.0,0,1,0.6357856494096277
enjoy-binbin,Binbin,41,0,84,584,"{'Binbin', 'Oran Agra', 'Unknown', 'Itamar Haber'}",25,30,25,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
enjoy-binbin,Binbin,16,2,1,80,"{'Binbin', 'Oran Agra'}",2,6,3,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
edufelipe,Eduardo Felipe,19,0,1,17,"{'Oran Agra', 'Yossi Gottlieb', 'Itamar Haber'}",2,3,3,50279,4511,0.6185697153316922,186,20,4391,3.01,1.0,0,0,0.33222591362126247
enjoy-binbin,Binbin,0,0,6,10,{'Oran Agra'},1,1,2,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
huangzhw,Huang Zhw,0,0,1,2,"{'Oran Agra', 'Itamar Haber'}",0,0,1,50279,4511,0.6185697153316922,186,11,3107,21.009999999999998,17.0,0,1,0.6187529747739172
enjoy-binbin,Binbin,10,0,2,14,"{'Binbin', 'Oran Agra', 'Itamar Haber'}",1,3,2,50279,4511,0.6185697153316922,186,20,1749,25.009999999999998,24.0,0,1,0.4398240703718513
