pr_author_reviewer_race,pr_author_race,pr_reviewer_race,pr_notice_time,pr_review_time,pr_changed_files,pr_LOC,pr_review_commits,pr_review_comments,pr_commits,pr_same_ethnicity,repo_id,repo_stars,repo_create_time,repo_external_contribution,repo_team_size,user_followers,user_dev_time,user_experience,user_repo_experience,user_main_member,user_watched,user_succ_rate
API-API,API,API,0.0,0.0,0.6931471805599453,3.8066624897703196,0,0,2,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,6.7650389767805414,10.106849315068493,16.009999999999998,12.0,1,0,0.9369144284821987
API-API,API,API,0.0,0.0,0.0,2.1972245773362196,0,0,1,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,6.7650389767805414,10.106849315068493,16.009999999999998,12.0,1,0,0.9369144284821987
White-API,White,API,1.0986122886681098,4.23410650459726,0.0,2.3978952727983707,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,6.352629396319567,10.43013698630137,2.01,0.0,1,1,0.49751243781094534
White-API,White,API,4.248495242049359,0.6931471805599453,0.0,1.6094379124341003,1,0,2,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.209486152841421,7.531506849315068,14.01,13.0,1,0,0.6423982869379015
White-API,White,API,4.820281565605037,2.833213344056216,0.0,1.0986122886681098,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.313205979041787,3.3095890410958906,38.01,8.0,1,0,0.7366482504604052
White-White,White,White,5.1298987149230735,5.1298987149230735,1.3862943611198906,3.6635616461296463,7,1,10,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,2.1972245773362196,10.961643835616439,0.01,0.0,0,0,0.0
White-API,White,API,0.0,0.0,0.0,0.6931471805599453,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,4.30406509320417,6.928767123287671,7.01,2.0,1,1,0.7132667617689016
White-API,White,API,0.0,0.0,0.6931471805599453,5.726847747587197,1,0,2,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,4.30406509320417,6.928767123287671,7.01,2.0,1,1,0.7132667617689016
White-White,White,White,1.6094379124341003,4.3694478524670215,0.0,3.6635616461296463,1,1,2,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,6.352629396319567,10.43013698630137,2.01,0.0,1,1,0.49751243781094534
White-API,White,API,3.6109179126442243,4.007333185232471,0.6931471805599453,4.543294782270004,0,0,6,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,7.121252453244542,10.076712328767123,14.01,14.0,1,1,0.8565310492505354
White-API,White,API,0.0,0.0,0.0,1.3862943611198906,0,0,2,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.209486152841421,7.531506849315068,14.01,13.0,1,0,0.6423982869379015
API-White,API,White,0.0,0.6931471805599453,1.0986122886681098,3.912023005428146,1,0,2,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.231108616854587,6.50958904109589,5.01,5.0,1,1,0.9980039920159681
White-White,White,White,0.0,0.0,0.0,0.6931471805599453,0,0,1,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,6.118097198041348,6.147945205479452,4.01,3.0,1,1,0.7481296758104738
White-White,White,White,5.1298987149230735,0.0,0.6931471805599453,4.31748811353631,4,0,5,1,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,7.121252453244542,10.076712328767123,14.01,14.0,1,1,0.8565310492505354
White-API,White,API,0.0,0.0,0.0,1.6094379124341003,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.288267030694535,9.07945205479452,4.01,4.0,1,1,0.49875311720698257
White-API,White,API,2.302585092994046,0.6931471805599453,0.0,0.6931471805599453,0,0,1,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,5.594711379601839,11.07945205479452,5.01,3.0,1,1,0.7984031936127745
White-API,White,API,2.4849066497880004,0.0,0.0,0.6931471805599453,1,0,2,0,9,11.689145109572715,5.912328767123288,0.3309207462895737,6.021023349349527,1.0986122886681098,7.608219178082192,0.01,0.0,0,0,0.0
